#max_min
4,3496,0.036607
8,7489,0.136719
16,129502,0.063257
32,24638,2.659935
64,2464120,0.212769
128,22072835,0.190021
256,23962485,1.400290
512,6589159223,0.040739
1024,1061655367,2.022769
2048,14769187657,1.163224
4096,1071122185932,0.128313
#min_plus
4,3603,0.035526
8,7977,0.128369
16,126738,0.064637
32,23717,2.763250
64,2493667,0.210248
128,21230451,0.197561
256,23634876,1.419700
512,6040422254,0.044440
1024,1006806126,2.132966
2048,13152550236,1.306201
4096,873685042786,0.157309
#or_and
4,3025,0.042314
8,8015,0.127760
16,110937,0.073844
32,34242,1.913907
64,2165924,0.242062
128,22407980,0.187179
256,28148925,1.192032
512,6034008836,0.044487
1024,1082440084,1.983928
2048,13080395784,1.313406
4096,939247736364,0.146329
