4,1,1,20390,1077465
8,2,2,20827,1107632
16,4,1,20708,1193346
32,16,16,21082,1122869
64,64,2,22991,4348769
128,64,2,25626,32226173
256,16,8,60047,35687107
512,64,1,664187,8416918438
1024,256,128,1423070,1391421853
2048,2048,2048,891754384,17593611323
4096,32,2,610399621,1230857245291
